Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Gold Mountian (Kimberley)	Gold Mountian (Kimberley)	Piute	UT	-112.400	38.550	25c	"Epithermal vein, Comstock"			"Creede, Comstock and Sado epithermal veins"	1889	-1937	"503,225"	short t	"575,889"	"156,843"	"800,000"	"116,000"	no		"Callaghan, 1973; Stowe, 1975"		"500,000 to 2,500,000"	short t	0.12 to 0.18	1.4 to 1.8	no	no	no		Estimate by Utah GeologicalSurvey	Estimated resource at Annie Laurie and Sevier mines.	Annie Laurie Gold	457	18	5	neg	neg	no	"450 to 2,300"	1.9 to 14	22 to 140	no	no	no								
Goldstrike	Goldstrike	Washington	UT	-113.930	37.400	25	"Epithermal vein, quartz-adularia"			"Creede, Comstock and Sado epithermal veins"	by 1914	1989-1996	"~8,000,000"	short t	"213,000"	">37,100"	no	no	no		Tenneco SEC Form 10K 1987-91; USMX SEC Form 10K 1992-95											"Production includes ~2,700 oz Au remaining in heaps presumably recovered 1996. Reserves depleted."	USMX	"~7,300"	7	>1	no	no	no							QZAD	GB24	03	122	Mining completed 1994	Heaps rinsed 1997		USMX SEC form 10K
Kings Canyon		Millard	UT	-113.656	39.078		Unclassified	26a.1	Sediment-hosted Au				no		no	no	no	no	no			1994	"6,800,000"	short t	0.03	unk	no	no	no		Randol 1996	 	Crown Resources - Orion International Minerals	no	no	no	no	no	no	"6,200"	6	unk	no	no	no	NONE	NONE	29	280			Yes	
Lisbon Valley	Lisbon Valley	San Juan	UT	-109.125	38.125	30b	"Sediment-hosted Cu, redbed"			Sediment-hosted Cu	~1886	1896-1973	">150,000"	short t	no	neg	"29,700,000"	no	no		"Morrison and Parry, 1986"	1995	"42,600,000"	short t	no	unk	0.43	no	no		Randol 1996	"Resource in Centennial, Sentinal, and GTO deposits."	Summo Minerals	>140	no	no	13	no	no	"38,700"	no	neg	166	no	no	SCU2	CP03	01	004		?		
Little and Big Cottonwood	Little and Big Cottonwood	Salt Lake	UT	-111.670	40.620	19a	Polymetallic replacement			Polymetallic vein and replacement	1864	1867-1967	"830,023"	short t	"30,610"	"17,476,243"	"18,050,599"	"251,811,521"	"24,487,428"		"Butler and others, 1920; James, 1979"												 	753	1	544	8	114	11							PMR1	GB16	02	069				
Mercur	Mercur	Tooele	UT	-112.240	40.320	26a.1	Sediment-hosted Au			Sediment-hosted Au	1870	1871-1997	"40,659,000"	short t	"2,525,000"	"785,000"	no	no	no		"Butler and others, 1920; Gilluly, 1932; Stein and others, 1989; USBM Minerals Yearbooks 1931-48; Getty Oil SEC Form 10K 1982-83; Barrick SEC Form 10K/20F 1984-96; T. Faddies, personal commun. 1997; T. Shrier, written commun. 1995"											Reserved depleted 1997.	Barrick Gold	"36,885"	79	24	no	no	no							SEDG	GB31	04	200	Shut down early 1997	Reserves depleted		www.barrick.com
Mount Baldy - Ohio Districts	Mount Baldy - Ohio	Piute	UT	-112.330	38.430	22c	"Vein, polymetallic"			Polymetallic replacement; Comstock epithermal vein	1868	1868-1976	">249,150"	short t	"201,659"	"2,531,794"	"678,604"	"17,750,780"	"16,540,659"		"Callaghan, 1973; Perry and McCarthy, 1977"		"80,000"	short t	0.03	16.30	0.40	9.20	14.20		Utah Geological Survey		Deer Trail Development	>226	6	79	neg	8	8	73	0.1	41	neg	7	10	QZAD	GB24	01	120				
Ochre Springs	Gold Hill (Clifton)	Tooele	UT	-113.851	40.146	26a.1	Sediment-hosted Au			Sediment-hosted Au			no		no	no	no	no	no												"Maher, 1997"	"Resource of 75,000 oz Au."		no	no	no	no	no	no	unk	2.3	unk	no	no	no								
OK	Beaver Lake	Beaver	UT	-113.300	38.480	17	Porphyry Cu		Breccia pipe	Porphyry Cu	1871	1870-1973	">1,000,000"	short t	833	"121,000"	"17,520,000"	"116,000"	no		"Whelan, 1974; Posey, 1994"		"10,000,000 to 11,000,000"	short t	unk	unk	0.45 to 0.55	no	no	0.023% Mo	ME 5/97		Centurion Mines	>900	neg	4	8	neg	no	"9,000 to 10,000"	unk	unk	41 to 55	no	no								
Ophir	Ophir	Tooele	UT	-112.270	40.380	18c	"Skarn, Zn-Pb"	19a	Polymetallic replacement	"Cu, Au, and Pb-Zn skarn"	1865	1870-1972	">1,700,000"	short t	"16,623"	"19,820,937"	"46,629,929"	"356,424,846"	"88,241,753"		"Rubright, 1978; Tripp and others, 1989"												Silver Eagle Resources	">1,550"	0.5	617	21	162	40							SKZ1	GB04	01	051				
Park City	Park City	Summit	UT	-111.510	40.620	19a	Polymetallic replacement			Polymetallic vein and replacement	1868	1875-1981	"16,804,636"	short t	"1,453,867"	"253,555,653"	"128,972,000"	"2,714,458,000"	"1,495,158,000"		"Barnes and Simos, 1968; Bromfield, 1989; United Park City Mines SEC Form 10K 1975-81; Hecla Annual Reports 1965-72"	1980	"1,328,000"	short t	unk	4.50	unk	5.90	9.20		United Park City 1980 SEC Form 10K	Resource at Ontario mine.	United Park City Mines - New Park Resources	"15,245"	45	"7,887"	59	"1,231"	678	"1,205"	unk	184	unk	71	111	PMR1	GB16	03	070				
Rocky Range	Rocky Range	Beaver	UT	-113.063	38.450	18b	"Skarn, Cu"		"Skarn Au, Porphyry Cu"	"Cu, Au, and Pb-Zn skarn"	1872	1906-1994	"1,310,000"	short t	"3,259"	"1,099,235"	"40,620,000"	"3,700"	500	"Iron, tungsten"	"Butler and others, 1920; Whelan, 1982; Posey, 1994"	1980	"53,156,000"	short t	0.02	1.90	1.26	no	no		"Posey, 1994"	"Resource in eight deposits, 80% in Valley deposit."	Cortex	"1,200"	0.1	34	18	neg	neg	"48,222"	25	"3,141"	608	no	no	PMR1	GB16	06	073				
Rush Valley (Stockton)	Rush Valley (Stockton)	Tooele	UT	-112.333	40.467	22c	"Vein, polymetallic"	19a	Polymetallic replacement	Polymetallic vein and replacement	1864	1870-1976	">2,197,490"	short t	"88,112"	"10,932,188"	"18,656,456"	"439,395,913"	"153,458,487"		"Perry and McCarthy, 1977"													">1,993"	3	340	8	199	70														
San Francisco	San Francisco  	Beaver	UT	-113.338	38.467	19a	Polymetallic replacement		"Vein, polymetallic; Skarn Cu; Distal disseminated Ag-Au"	Polymetallic vein and replacement	1871	1870-1976			"38,888"	"19,147,666"	"45,378,600"	"403,889,000"	"43,564,300"		"Perry and McCarthy, 1977"												Horn Silver Mining		1	596	21	183	20														
Silver Reef (Harrisburg)	Silver Reef (Harrisburg)	Washington	UT	-113.370	37.250	30b	"Sediment-hosted Cu, redbed"			Sediment-hosted Cu	1869	1875-1972			664	"7,518,073"	"10,674,000"	"44,000"	no		"Stowe, 1975"											 			0.02	234	5	neg	no							SCU3	GB32	01	201				
Southwest Tintic	Tintic	Juab	UT	-112.125	39.858	17	Porphyry Cu			Porphyry Cu			no		no	no	no	no	no			1994	"616,000,000"	short t	unk	unk	0.28	no	no	0.019% Mo	"Krahulec, 1996; Randol 1996"		Centurion Mines	no	no	no	no	no	no	"559,000"	unk	unk	"1,565"	no	no								
Tecoma	Tecoma	"Box Elder
Elko"	"UT
NV"	-114.000	41.267	19a	Polymetallic replacement	19c	Distal disseminated Ag-Au	Polymetallic vein and replacement	1906	1907-1955			91	"67,274"	"21,361"	"3,129,441"	"2,000"		"LaPointe and others, 1991"	1985	"1,500,000"	short t	0.04	2.00	no	no	no		"Douglas, 1990"	Only Nevada portion of district had produced. Resource is in Utah portion.	Western States Minerals		neg	2	neg	1	neg	"1,360"	2	93	no	no	no	PMR1	GB16	01	068				
Tintic - East Tintic	Tintic - East Tintic	"Utah
Juab"	"UT
UT"	-112.100	39.910	19a	Polymetallic replacement			Polymetallic vein and replacement	1869	1869-1992	"19,456,897"	short t	"2,837,848"	"273,668,063"	"256,450,000"	"2,317,356,000"	"497,998,000"		"Shepard and others, 1968; Morris, 1990; North Lily SEC Form 10K 1988-93; Sunshine SEC Form 10K 1980-93"	1996	"1,500,000"	short t	unk	16.50	unk	21.00	6.70		"K.Droste, personal commun., 1997"	"Resource at Burgin mine.  Mammoth-Grand Central mine has an additional 211,400 short t at 0.22 opt Au, 11.29 opt Ag, and 4.3% Cu, mostly in shaft pillar (AMH 1997, entry for Chief Consol.).  Trixie mine had 49,583 short t reserve with 0.134 opt Au, 6.92 o"	North Lily - Chief Gold Mines - Akiko Gold Resources - Korean Zinc - Centurion Mines	"17,651"	88	"8,512"	116	"1,051"	226	"35,000"	>1.6	>855	>9	725	"1,498"	PMR1	GB16	04	071			Being promoted	
Andersonville	Andersonville	Buckingham	VA	-78.464	37.663	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide		no	no		no	no	no	no	no		 		"1,500,000"	short t	0.01	1.00	1.00	unk	5.00		"Duke, 1985"	 	 	no	no	no	no	no	no	"1,360"	0.2	47	14	unk	68	KVMS	SA04	02	681				
Austinville-Ivanhoe	Austinville-Ivanhoe	Wythe	VA	-80.920	36.847	32	Mississippi Valley			Mississippi Valley-type Pb-Zn	by 1756	1838-1981	"32,000,000"	short t	no	no	no	"64,155,000"	"3,130,563,000"	"Limestone, dolomite"	"Miller, 1985"	1981	"1,084,000"	short t	neg	unk	neg	0.80	4.00		New Jersey Zinc 1980 SEC Form 10K	Remaining resource is year-end 1980 reserve less 1981 production.	 	"29,000"	no	unk	no	29	"1,420"	983	neg	unk	neg	8	39	MVTD	EC05	02	040				
Franklin		Fauquier	VA	-77.661	38.353	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	by 1861		unk		"60,000"	unk	no	no	no		"Luttrell, 1966; Sweet, 1971"											 	 	unk	1.8	unk	no	no	no							LSGQ	SA21	02	691				
Gossan Lead	Gossan Lead	Carroll	VA	-80.750	36.817	24b	"Massive sulfide, Besshi"			Volcanic-associated massive sulfide	1789	1854-1994	"5,800,000"	short t	no	no	neg	no	no	Pyrites	"Duke, 1985"		"200,000,000"	short t	unk	unk	0.6 to 0.8	tr to 0.3	0.5 to 1.6	20% S	"Duke, 1985"	"Small production chalcocite ores 1855-1880.  From 1905 to 1976 mined for pyrites; ore contained 0.3 to 0.5% Cu, 0.3 to 2.0% Zn, up to 0.3% Pb, and trace Ag but none of these metals were recovered."	 	"5,300"	no	no	neg	no	no	"181,000"	unk	unk	">1,000"	sig	>900	BVMS	SA01	01	676				
London and Virginia		Buckingham	VA	-78.464	37.633	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	by 1853	1853-1940	unk		500	unk	no	no	no		"Sweet and Trimble, 1983"		"723,000"	short t	0.01	0.73	0.58	0.92	3.20		"Duke, 1985"			unk	unk	unk	no	no	no	656	3	16	4	6	21	KVMS	SA04	03	682				
Armenius	Mineral	Louisa	VA	-77.898	38.036	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	by 1834	1865-1921	"1,800,000"	long t	neg	neg	unk	unk	unk	"Pyrites, iron ore"	"Cox and others, 1979"	1972	"3,803,000"	short t	0.02	0.60	0.50	0.60	4.00	35.7% S	"New Jersey Zinc 1972 SEC Form 10K; Ware, 1978"	"Production consists mostly of pyrites with intermittent Cu-Pb-Zn concentrates byproduct.  Iron ore production from gossan from 1832, Cu production 1850's."	W.B. Gilman Logging	"1,600"	unk	unk	unk	unk	unk	"3,450"	2	71	17	21	138	KVMS	SA04	01					
Chaffin	Mineral	Louisa	VA	-77.900	38.000	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide		no	no		no	no	no	no	no			1972	"930,200"	short t	unk	unk	unk	0.80	4.00		New Jersey Zinc 1972 SEC Form 10K			no	no	no	no	no	no	844	unk	unk	unk	7	34	KVMS	SA04	01					
Cofer	Mineral	Louisa	VA	-77.875	38.050	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1950s	no	no		no	no	no	no	no			1972	"1,438,000"	short t	0.01	1.12	0.55	1.48	5.64	15.4% S	"Kazda, 1978"			no	no	no	no	no	no	"1,305"	0.45	50	7	19	74	KVMS	SA04	01					
Julia	Mineral	Louisa	VA	-77.925	38.009	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	by 1892	1911-1918	unk		no	no	no	no	no	Pyrites		1972	"1,955,000"	short t	0.03	0.90	0.15	1.30	4.80	12%S	"New Jersey Zinc 1972 SEC Form 10K; Ware, 1978"			no	no	no	no	no	no	"1,774"	2	55	3	23	85	KVMS	SA04	01					
Vaucluse		Orange	VA	-77.729	38.354	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	by 1832	1832-1939	unk		"70,000"	unk	no	no	no		"Sweet and Trimble, 1983"											 	 	unk	2	unk	no	no	no							LSGQ	SA21	01	690				
Whitehall		Spotsylvania	VA	-77.739	38.239	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1806	1848-1884	unk		"87,000"	unk	no	no	no		"Sweet, 1971"											 	 	unk	3	unk	no	no	no							LSGQ	SA21	03	692				
Elizabeth	Orange County Copper	Orange	VT	-72.333	43.817	24b	"Massive sulfide, Besshi"			Volcanic-associated massive sulfide	1793	1830-1958	"3,300,000"	short t	"2,000"	"512,000"	"111,415,000"	no	"29,670,000"	Pyrites	"Howard, 1969; Brown, 1968; USBM Production Data"													"3,000"	0.06	16	51	no	13							BVMS	NA08	01	246				
Buckhorn Mountain (Crown Jewel)	Meyers Creek	Okanogan	WA	-118.983	48.956	18f	"Skarn, Au"			"Cu, Au, and Pb-Zn skarn"	1988		no		no	no	no	no	no			1995	"8,505,000"	short t	0.18	0.10	no	no	no		Battle Mountain Gold 1995 SEC Form 10K	 	Battle Mountain Gold - Crown Resources	no	no	no	no	no	no	"7,716"	48	27	no	no	no	SKNG	NR05	01	297		Being permitted		
Cannon	Wenatchee	Chelan	WA	-120.325	47.396	25c	"Epithermal vein, Comstock"			"Creede, Comstock and Sado epithermal veins"	by 1952	1985-1995	"4,133,101"	short t	"1,248,911"	"2,075,077"	no	no	no		"Cameron, 1996; Asamera SEC Form 10K 1981-87"											Reserves depleted.	Asamera Minerals	"3,749"	39	65	no	no	no							QZAD	PC19	01	375	Shut down 1994			
Clipper - Three Brothers	Middle Fork Snoqualmie	King	WA	-121.344	47.518	17	Porphyry Cu			Porphyry Cu	by 1907		no		no	no	no	no	no			1975	"2,230,000"	short t	unk	unk	0.81	no	no		"Derkey and others, 1990; Gualtieri and others, 1975"		United Cascade	no	no	no	no	no	no	"2,023"	unk	unk	16	no	no	PCU2	PC04	06	359				
Condor-Hemlock	Middle Fork Snoqualmie	King	WA	-121.360	47.497	17	Porphyry Cu			Porphyry Cu	by 1937		no		no	no	no	no	no			1975	"127,500,000"	short t	unk	unk	0.75	no	no		"Derkey and others, 1990; Gualtieri and others, 1975"		United Cascade	no	no	no	no	no	no	"127,500"	unk	unk	868	no	no	PCU2	PC04	07	360				
Daisy	Troublesome Creek	Snohomish	WA	-121.404	47.926	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1874		unk		unk	unk	unk	unk	unk			1983	"1,700,000"	short t	0.25	2.10	0.06	0.82	0.77	"3.04% As, .04% Sb"	"Johnson and others, 1983"			unk	unk	unk	unk	unk	unk	"1,500"	13	111	1	13	12								
Glacier Peak	Sampson	Snohomish	WA	-120.979	48.198	21a	Porphyry Cu-Mo			Porphyry Cu	1900		no		no	no	no	no	no		 	1959	"1,700,000,000"	metric t	sig	sig	0.33	no	no	0.015% Mo; W	Lasmanis (1995)	Inferred geologic resource within Glacier Peak Wilderness.	Rio Tinto	no	no	no	no	no	no	"1,700,000"	unk	unk	"5,089"	no	no	PCU2	PC04	03	356				
Gold Mountain		Snohomish	WA	-121.334	48.216	17	Porphyry Cu			Porphyry Cu	by 1951		unk		unk	unk	unk	unk	unk				"44,000,000"	short t	unk	unk	0.50	no	no		"Hollister, 1979"		 	unk	unk	unk	unk	unk	unk	"40,000"	unk	unk	200	no	no	PCU2	PC04	02	355				
Holden	Railroad Creek	Chelan	WA	-120.780	48.197	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1887	1938-1957	"10,617,000"	short t	"600,000"	"2,000,000"	"212,000,000"	unk	"40,000,000"		"McWilliams, 1958"	1958	"10,700,000"	short t	0.05	0.13	0.35	unk	0.30		"Stotelmeyer and others, 1981"	"Property now a Lutheren bible camp. Resource includes 7,800,000 short t tailings with 0.048 opt Au, 0.1 opt Ag, 0.07% Cu, and 0.03% Zn."	 	"9,632"	19	62	96	unk	18	"9,700"	17	42	34	unk	29	KVMS	PC12	01	365				
Ida		Snohomish	WA	-121.354	48.001	22c	"Vein, polymetallic"			Polymetallic vein and replacement			unk		unk	unk	unk	unk	unk			1983	">5,000,000"	short t	unk	0.80	unk	unk	0.23	"0.68% As, 0.06% Sb"	"Johnson and others, 1983"			unk	unk	unk	unk	unk	unk	">4,500"	unk	>124	unk	unk	>10								
Justice - Golden Chord	Monte Cristo	Snohomish	WA	-121.379	47.980	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1889	1894-1905	unk		sig	unk	unk	unk	unk			1983	"5,600,000"	short t	0.04	0.59	0.01	0.21	0.30	1.40% As	"Johnson and others, 1983"	Production included in Mystery mine production.	 	unk	sig	unk	unk	unk	unk	"5,050"	8	103	neg	11	15	PMV	PMVN	06	623				
K-2	Belcher	Ferry	WA	-118.663	48.864		Unclassified		Veinlets in argillite; replacements in dolomite		by 1993		no		no	no	no	no	no			1996	"741,000"	short t	0.19	unk	no	no	no		Echo Bay 1996 SEC Form 10K		Echo Bay Mines	no	no	no	no	no	no	672	5	unk	no	no	no					Yes			Echo Bay SEC Form 10K; www.echobay.com
Kelsey		Okanogan	WA	-119.478	48.995	21a	Porphyry Cu-Mo			Porphyry Cu	by 1911		no		no	no	no	no	no			1974	"216,300,000"	metric t			0.28			0.015 to 0.02% MoS2	"Lasmanis, 1995"	Indicated and inferred resource at a cut-off grade of 0.2% Cu.  An additional 148 million mt potential resource in Central zone.	 	no	no	no	no	no	no	"216,300"	unk	unk	597	neg	neg	PCU2	NR08	01	304				
Kettle	Belcher	Ferry	WA	-118.626	48.879	25c	"Epithermal vein, Comstock"	25a	Hot-spring Au-Ag	"Creede, Comstock and Sado epithermal veins"	by 1986	1990-1992	"233,000"	short t	"44,200"	unk	no	no	no		"Derkey, 1993; Randol, 1990; Derkey and others, 1990"											Reserves depleted.  Production estimated using initial reserves and assuming 87% gold recovery.	Echo Bay Mines	211	1	unk	no	no	no							QZAD	NR21	02	329	Mined out			Echo Bay SEC Form 10K; www.echobay.com
Key East - Key West	Belcher	Ferry	WA	-118.551	48.710		Unclassified		Veinlets in argillite; replacements in dolomite		1984	1993-1994	"1,114,000"	short t	"163,000"	unk	no	no	no		Echo Bay 1990 SEC Form 10K											Reserves depleted.  Production estimated using initial reserves and assuming 87% gold recovery.	Echo Bay Mines	"1,011"	5	unk	no	no	no							NONE	NONE	07	258	Mined out			Echo Bay SEC Form 10K; www.echobay.com
Lamefoot 	Belcher	Ferry	WA	-118.646	48.734		Unclassified		Veinlets in argillite; replacements in dolomite		1990	1994-1996	"394,000"	short t	"69,500"	unk	no	no	no		Echo Bay 1993-96 SEC Form 10K	1996	"1,246,000"	short t	0.19	unk	no	no	no		Echo Bay 1996 SEC Form 10K	Production estimated by deducting 1996 reserves from initial reserves and assuming 87% gold recovery.	Echo Bay Mines	357	2	unk	no	no	no	"1,130"	7	unk	no	no	no	NONE	NONE	06	257	Yes			Echo Bay SEC Form 10K; www.echobay.com
Lone Star - Washington	Danville	Ferry	WA	-118.665	48.995	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1897	1910-1917	"36,000"	short t	"1,152"	"6,948"	"1,872,000"	no	no		"Huntting, 1956"		"20,350,000"	short t	0.01	unk	0.55	unk	unk		AMH 1997 entry for Brittania Gold		Brittannia Gold - Bren-Mar Resources	33	0.04	0.2	1	no	no	"18,460"	7	unk	102	unk	unk							Yes	
Lovitt (L-D)	Wenatchee	Chelan	WA	-120.315	47.382	25c	"Epithermal vein, Comstock"			"Creede, Comstock and Sado epithermal veins"	1885	1938-1967	"1,063,000"	short t	"412,244"	"631,457"	no	no	no		"Cameron, 1996; USBM Production Data 1938-1948"		"1,900,000"	short t	0.09	unk	no	no	no		Randol 1996	 	Lovitt Mining - Grange Gold	964	13	20	no	no	no	"1,700"	6	unk	no	no	no	QZAD	PC19	02	376				
Margaret	St. Helens	Skamania	WA	-122.081	46.356	21a	Porphyry Cu-Mo			Porphyry Cu	by 1971		no		no	no	no	no	no			1979	"523,000,000"	metric t	0.24 gpt	1.58 gpt	0.36	no	no	0.011% Mo	"Lasmanis, 1995"	Proven and probable resource at a 0.33% equivalent Cu cut-off grade.	 	no	no	no	no	no	no	"523,000"	126	826	"1,883"	no	no	PCU2	PC05	01	361				
Mazama	Mazama	Okanogan	WA	-120.382	48.615	21a	Porphyry Cu-Mo			Porphyry Cu	1960s		no		no	no	no	no	no			1991	"470,000,000"	short t	~0.001	unk	0.37	no	no	0.01% Mo	"Long, 1995; Riedell and others, 1996"	 	Centurion Mines Corp.	no	no	no	no	no	no	"426,000"	~15	unk	"1,578"	no	no	PCU2	PC04	01	354			Yes	
Monte Cristo - Silverton placers	Monte Cristo	Snohomish	WA	-121.583	48.083	39a	Placer Au-PGE				1886				"340,000"	unk	no	no	no		"MacLaren and others, 1966"														11	unk	no	no	no														
Mount Baker	Mount Baker	Whatcom	WA	-121.633	48.917	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1897	1897-1948	">129,000"	short t	"72,000"	">64,000"	neg	neg	no		"Moen, 1969; USBM Production Data 1903-48"	1988	"4,100,000"	short t	0.04	2.60	no	no	no		USBM Minerals Yearbook 1988	Resource at Great Excelsior mine.		>117	2	2	neg	neg	no	"3,700"	5	332	no	no	no								
Mount Tolman	"Sanpoil, Keller"	Ferry	WA	-118.692	48.057	21b	"Porphyry Mo, Low-F"				by 1952		no		no	no	no	no	no			1981	"2,180,000,000"	metric t	neg	neg	0.09	no	no	0.093% Mo	"Lasmanis and Utterback, 1995"	Delineated geologic resource at a 0.048% MoS2 cut-off grade.  Deposit is larger than area drilled.	Colville Tribes	no	no	no	no	no	no	"2,180,000"	neg	neg	"1,962"	no	no	MO	MOLF	01	239				
Mystery	Monte Cristo	Snohomish	WA	-121.369	47.981	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1889	1894-1916	"300,000"	short t	"227,700"	">128,000"	neg	no	no		"MacLaren and others, 1966; USBM Production Data 1902-16"	1983	"12,300,000"	short t	0.07	1.70	0.13	0.50	0.75	"2.13% As, 0.36% Sb"	"Johnson and others, 1983"	Production for district.	 	270	7	>4	neg	no	no	"11,200"	26	650	15	56	84	PMV	PMVN	04	621				
New Discovery	Monte Cristo	Snohomish	WA	-121.358	47.980	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1896	1897-1918	unk		unk	unk	unk	unk	unk			1983	"4,400,000"	short t	0.15	1.15	0.07	0.41	1.32	2.83% As	"Johnson and others, 1983"	Production included in Mystery mine production.	 	unk	unk	unk	unk	unk	unk	"4,000"	19	157	3	16	53	PMV	PMVN	05	622				
New York-Seattle	Silver Creek	Snohomish	WA	-121.430	47.949	22c	"Vein, polymetallic"			Polymetallic vein and replacement	1871	1908	unk		neg	neg	neg	no	no		"Johnson and others, 1983"	1983	"100,000,000"	short t	0.01	unk	0.14	unk	unk	0.14% As	"Johnson and others, 1983"	 	 	unk	unk	neg	neg	neg	no	"90,700"	37	unk	127	unk	unk	PMV	PMVN	07	624				
North Fork	Snoqualmie	King	WA	-121.636	47.669	17	Porphyry Cu		Breccia pipe	Porphyry Cu	1964		no		no	no	no	no	no			1972	"(1) 78,000,000;
(2) 39,700,000"	metric t							"Lasmanis, 1995"	"Cu figure includes 75,497 mt Cu contained in an additional lower grade resource of 3.97 million mt material with 0.15 to 0.25% Cu, averaging 0.19% Cu.  Deposit is open to the south."	Weyerhaeuser	no	no	no	no	no	no	"117,700"	8	109	395	no	no	PCU2	PC04	05	358				
Orient	Orient	Stevens	WA	-118.159	48.884	25c	"Epithermal vein, Comstock"		Hot-spring Au-Ag	"Creede, Comstock and Sado epithermal veins"	1897	1904-1942	"236,993"	short t	"45,057"	"32,020"	"555,536"	"23,115"	no		"Fulkerson and Kinston, 1958"		"405,000"	metric t	6.50	4.60	0.10	neg	neg		?		Western Continental	215	1.4	1	neg	neg	neg	405	3	2	neg	neg	neg	QZAD	NR21	01	328				
Overlook	Belcher	Ferry	WA	-118.569	48.699		Unclassified		Veinlets in argillite; replacements in dolomite		1986	1990-1995	"2,925,000"	short t	"354,000"	unk	no	no	no		Echo Bay 1990 SEC Form 10K											Reserves depleted.  Production estimated using initial reserves and assuming 87% gold recovery.	Echo Bay Mines	"2,654"	11	unk	no	no	no							NONE	NONE	08	259	Mined out			Echo Bay SEC Form 10K; www.echobay.com
Pend Oreille	Metaline	Pend Oreille	WA	-117.360	48.882	32	Mississippi Valley		Irish Sedex Pb-Zn	Mississippi Valley-type Pb-Zn	by 1869	1906-1977	"19,275,413"	short t	>247	">355,763"	">356,184"	"436,800,000"	"977,342,000"	Cadmium	"Fulkerson and Kinston, 1958; McConnel and Anderson, 1968; Gulf Resources & Chemical SEC Form 10Ks 1973-77"	1995	"5,900,000"	metric t	no	unk	unk	1.20	7.50		Cominco 1996 Annual Report	Production for entire district. Resource for Yellowhead zone.	Cominco	"17,486"	neg	>11	neg	198	443	"5,900"	no	unk	unk	71	443	MVTD	NR43	"01
02"	348		Being reopened		Cominco annual report; www.cominco.com
